0000000000000000206 core-0   :000105f8 (0ff57513) andi        a0, a0, 255        
0000000000000000207 core-0   :000105fc (00e7f7b3) and         a5, a5, a4         
0000000000000000208 core-0   :00010600 (01751713) slli        a4, a0, 23         
0000000000000000209 core-0   :00010604 (80800537) lui         a0, -2139095040    
0000000000000000210 core-0   :00010608 (00c12083) lw          ra, 12(sp)         
0000000000000000211 core-0   :0001060c (00812403) lw          s0, 8(sp)          
0000000000000000212 core-0   :00010610 (fff50513) addi        a0, a0, -1         
0000000000000000213 core-0   :00010614 (00a7f533) and         a0, a5, a0         
0000000000000000214 core-0   :00010618 (01f91913) slli        s2, s2, 31         
0000000000000000215 core-0   :0001061c (00e56533) or          a0, a0, a4         
0000000000000000216 core-0   :00010620 (01256533) or          a0, a0, s2         
0000000000000000217 core-0   :00010624 (00412483) lw          s1, 4(sp)          
0000000000000000218 core-0   :00010628 (00012903) lw          s2, 0(sp)          
0000000000000000219 core-0   :0001062c (01010113) addi        sp, sp, 16         
0000000000000000220 core-0   :00010630 (00008067) ret                            
0000000000000000221 core-0   :000101e4 (00050793) mv          a5, a0             
0000000000000000222 core-0   :000101e8 (fef42223) sw          a5, -28(s0)        
0000000000000000223 core-0   :000101ec (00000013) nop                            
0000000000000000224 core-0   :000101f0 (01c12083) lw          ra, 28(sp)         
0000000000000000225 core-0   :000101f4 (01812403) lw          s0, 24(sp)         
0000000000000000226 core-0   :000101f8 (02010113) addi        sp, sp, 32         
0000000000000000227 core-0   :000101fc (00008067) ret                            
0000000000000000228 core-0   :000100b0 (6040006f) j           pc + 1540          
0000000000000000229 core-0   :000106b4 (ff010113) addi        sp, sp, -16        
0000000000000000230 core-0   :000106b8 (00000593) mv          a1, zero           
0000000000000000231 core-0   :000106bc (00812423) sw          s0, 8(sp)          
0000000000000000232 core-0   :000106c0 (00112623) sw          ra, 12(sp)         
0000000000000000233 core-0   :000106c4 (00050413) mv          s0, a0             
0000000000000000234 core-0   :000106c8 (28c000ef) jal         ra, pc + 652       
0000000000000000235 core-0   :00010954 (fd010113) addi        sp, sp, -48        
0000000000000000236 core-0   :00010958 (000127b7) lui         a5, 73728          
0000000000000000237 core-0   :0001095c (01312e23) sw          s3, 28(sp)         
